empresa,URL
99taxis,https://www.reclameaqui.com.br/99taxis/erro-na-suspensao_jzptkTOf6CWz81lI/
99taxis,https://www.reclameaqui.com.br/99taxis/app-cobrando-valor-sem-desconto_uB2DqVFHutKxTMGD/
99taxis,https://www.reclameaqui.com.br/99taxis/estao-usando-meu-email_kx9bOU1ABhI1dyyV/
99taxis,https://www.reclameaqui.com.br/99taxis/ajuda-beneficio_XPeCxzrJJf6E-REC/
aliexpress,https://www.reclameaqui.com.br/aliexpress/reembolso-custando-a-ser-concluido_0ptME2hnjn4WFu-s/
aliexpress,https://www.reclameaqui.com.br/aliexpress/reembolso_GjCrYZMjh6UPS8BR/
aliexpress,https://www.reclameaqui.com.br/aliexpress/comprei-um-adaptador-dia-08-01-2020-e-ate-hoje-nao-recebi_7rg2XVowmQUAQ0rR/
aliexpress,https://www.reclameaqui.com.br/aliexpress/nao-recebi-produto_ofYC1M7pgBW_hgf5/
amazon,https://www.reclameaqui.com.br/amazon/cancelamento-prime_a9lTVQy70aDSOUhl/
amazon,https://www.reclameaqui.com.br/amazon/empresa-nao-confiavel_PKU26R9BC9bPVDBc/
amazon,https://www.reclameaqui.com.br/amazon/demora-pra-confirmar-o-pagamento_k65l5RuDio3djniI/
99taxis,https://www.reclameaqui.com.br/99taxis/pagamento-c-mora-falsa-e-mau-atendimento_WxLueYrNpC-Tjcrj/
99taxis,https://www.reclameaqui.com.br/99taxis/conta-desativada__lG6KaQjXbD6uNO9/
99taxis,https://www.reclameaqui.com.br/99taxis/conta-desativada_X80R1TlaLH824TZE/
99taxis,https://www.reclameaqui.com.br/99taxis/fui-feito-de-palhaco_CnMtygxSlFBH8FWE/
99taxis,https://www.reclameaqui.com.br/99taxis/erro-no-cadastro_R49ohlLuDYmAekRN/
99taxis,https://www.reclameaqui.com.br/99taxis/doe-sangue-sp-nao-tive-desconto_edLamB6BTZYuegAv/
99taxis,https://www.reclameaqui.com.br/99taxis/excesso-de-tentativa_MlzqHoalrq9bPT9k/
99taxis,https://www.reclameaqui.com.br/99taxis/cadastro-bloqueado_9lpSyhSuDqSYhF2m/
99taxis,https://www.reclameaqui.com.br/99taxis/meu-cupom-de-indicacao15-00-sumiu-do-meu-app_vkVDyyp7BiFTCKSj/
99taxis,https://www.reclameaqui.com.br/99taxis/troco_-7GScgz8-4b5JFlf/
99taxis,https://www.reclameaqui.com.br/99taxis/nao-consigo-trocar-numero_A1445dQEqD7jfkDS/
99taxis,https://www.reclameaqui.com.br/99taxis/dois-pesos-duas-medidas_EzE3eSvAoRddqxd5/
99taxis,https://www.reclameaqui.com.br/99taxis/estranhos-usando-meu-email-no-app_dCIS_2D8XcyLPUhe/
99taxis,https://www.reclameaqui.com.br/99taxis/cupom-com-validade_KZrnfrjKKk8iC0qd/
99taxis,https://www.reclameaqui.com.br/99taxis/cadastro_J4xufcNsoRw1567L/
99taxis,https://www.reclameaqui.com.br/99taxis/motorista_Qh3h_nnyKmpXH4cN/
99taxis,https://www.reclameaqui.com.br/99taxis/uso-indevido-de-informacoes-de-terceiros_stf0LrHSZ1k2-84d/
99taxis,https://www.reclameaqui.com.br/99taxis/rota-mais-longa-para-cobrar-mais_8G70zP_Gfvg0vwcA/
99taxis,https://www.reclameaqui.com.br/99taxis/cobranca-indevida_9nO2qsCYmsP7v5KD/
99taxis,https://www.reclameaqui.com.br/99taxis/me-enrolou_XrIlBnD2wy1HoHQj/
99taxis,https://www.reclameaqui.com.br/99taxis/cobranca-tripla-pela-mesma-corrida_lIkVbPI2hfg4sExu/
99taxis,https://www.reclameaqui.com.br/99taxis/fui-furtada-pelo-motorista-da-99_yjm06AEwRqM36K26/
99taxis,https://www.reclameaqui.com.br/99taxis/saldo-devedor_ZrgdG3MUkQqHgQ4w/
99taxis,https://www.reclameaqui.com.br/99taxis/troca-de-categoria_hHsRbM6Ex-Gm5tiG/
99taxis,https://www.reclameaqui.com.br/99taxis/cobranca-em-duplicidade_Mtz1eUCmGAik3V75/
99taxis,https://www.reclameaqui.com.br/99taxis/nao-consigo-solicitar-corrida_hxTa1xtiulSv8Sq0/
99taxis,https://www.reclameaqui.com.br/99taxis/conta-bloqueada_AlKJtl9PWEnLNlhc/
99taxis,https://www.reclameaqui.com.br/99taxis/ja-e-a-3-vezes-que-passageiro-vai-embora-sem-pagar_WJKBHHpETLwIbBDp/
99taxis,https://www.reclameaqui.com.br/99taxis/motorista-deixou-em-local-errado-diferente-do-informado_0f4Zlyzj19-PgsI1/
99taxis,https://www.reclameaqui.com.br/99taxis/suspenderam-meu-cadastro-sem-ao-menos-uma-justificativa_mPUE9OIDRbKokH5r/
99taxis,https://www.reclameaqui.com.br/99taxis/usaram-meu-cartao-de-credito-na-pop_xE22hWIk9AMS-8b9/
99taxis,https://www.reclameaqui.com.br/99taxis/nao-validacao-do-veiculo__1GSDPUleFNuJ3Tv/
99taxis,https://www.reclameaqui.com.br/99taxis/esqueci-meu-celular-no-99-e-nao-consigo-recuperar_vFREm30noP9yVaa9/
99taxis,https://www.reclameaqui.com.br/99taxis/nao-recebo-chamadas_BGzhVcOWbcLoC5OZ/
99taxis,https://www.reclameaqui.com.br/99taxis/cobranca-de-pedagio_Zz1WnVc8Ha5w4emT/
99taxis,https://www.reclameaqui.com.br/99taxis/cobrando-valor-mais-caro_wrDy3_irSPLs3lE6/
aliexpress,https://www.reclameaqui.com.br/aliexpress/pedido-equivocadamente-dado-como-entregue_6nUUInwsvobulvPo/
aliexpress,https://www.reclameaqui.com.br/aliexpress/aliexpress_adyq0wM2zRoGoQK_/
aliexpress,https://www.reclameaqui.com.br/aliexpress/problema-com-o-cancelamento_z-I2cTiO2aNLxIbl/
aliexpress,https://www.reclameaqui.com.br/aliexpress/cabeca-de-impressao-nao-imprime-e-veio-danificada_eH1F7IVSAikRf2Nc/
aliexpress,https://www.reclameaqui.com.br/aliexpress/dificil-informar-no-site-o-nao-recebimento-do-produto_6yfijvQiwT2evTYF/
