empresa,titulo,cidade,uf,id,datetime,reclamacao,nota
ame-digital,Não consigo acessar conta após ter atualizado telefone,Contagem,MG,105434817,2020-05-30 15:39:30,Após entrar em contato com a Ame para trocar meu telefone cadastrado não consigo mais acessar minha conta. Creio que cadastraram o número errado. O app fala que acessei a conta de outro dispositivo e manda um sms de confirmação que nunca chega no meu telefone. E não consigo fazer login. A Ame não oferece atendimento telefonico devido a Covid 19. E pelo email não resolvem meu problema. Não consigo acessar minha conta. Absurdo se cadastraram minha conta em telefone de outra pessoa.  Quero uma resolução urgente.,10
amazon,Produto Avariado,Nova Iguaçu,RJ,105007699,2020-05-23 19:28:03,A amazon na minha opinião é a melhor empresa. A entrega chegou rápido e intacta. Dentro da embalagem veio esse vol 6 de Dr. Slump e achei bem estrando essa lombada torta e quando abri notei essas páginas prestes a despencar da capa.,10
amazon,Amazon.prime sem legendas,Rio de Janeiro,RJ,105012681,2020-05-23 21:52:11,"Tenho assinatura da amazon.prime desde que ela chegou ao Brasil e, no geral, estou muito satisfeita. Uma das coisas de que não gosto, e já reclamei aqui, é que certos filmes não tem legendas, são apenas dublados. O que é uma pena, sobretudo para os deficientes auditivos.
Agora, a amazon.prime mudou o layout de acesso aos programas que ficou muito lugar. Só há um problema: não há como colocar legendas. Ou seja, quem não conhece a língua original do filme não pode assistir. Como a amazon.prime vai resolver esta questão?
Muito obrigada,",10
amazon,Não entregaram meu pedido,São Paulo,SP,105015519,2020-05-23 23:46:34,"Recebi e-mail dizendo q tinha sido feita várias tentativas de entrega e não acharam meu endereço porém 2 dos entregadores que tentaram entregar me ligaram e me falaram q estavam em outro endereço que a etiqueta q a empresa mandou pra ele era de outra rua e não entregaram no endereço correto até hj.

Um deles até me sugeriu por telefone q eu fosse até a rua errada pegar o pedido pois ele não poderia mudar o trajeto mesmo vendo que o cep correto não batia com o nome da rua que anotaram na etiqueta dele.

A Amazon entrou em contato 1 vez falando q ia resolver e não resolveu nada e sumiu não recebi mais nenhuma resposta",2
amazon,Cobrança durante mês grátis Prime,Florianópolis,SC,105016095,2020-05-24 00:14:17,"Fiz a assinatura no Amazon prime ontem (23/05) pois queria testar por 30 dias grátis e ver se valeria a pena contratar o pacote, porém no mesmo momento veio uma cobrança de 9,90 da amazon no meu cartão, e não houve estorno. Solicito estorno desse valor, visto que era para ser um mês grátis. Obrigada.",10
amazon,Prime video não funciona de madrugada,Curitiba,PR,105016411,2020-05-24 00:29:08,"A algumas semanas que não consigo assistir meus filmes no período da madrugada, de dia o aplicativo funciona normalmente mas quando passa das meia noite o aplicativo não funciona mais, não entra em nenhum lugar, ele só fica carregando e carregando e fica uma tela preta após isso, minha internet esta funcionando muito bem, porem o prime não, isso acontece somente na minha tv, porem outros aplicativos que acessam a internet funcionam perfeitamente.",10
amazon,Assinatura de música,Novo Airão,AM,105023205,2020-05-24 11:17:35,"Fiz assinatura de música da Amazon, do anúncio que recebi no meu email, infornando que é gratuita por 3 meses. Assim que eu concluí a assinatura, gerou uma cobrança no meu cartão de crédito. 
Me senti [Editado pelo Reclame Aqui], pois embora a cobrança seja baixa, não tem nada de gratuito.",10
amazon,Não realizam meu reembolso!,Itabira,MG,105026839,2020-05-24 13:09:45,"Realizei a compra de um relógio no pedido número 701-4906965-9179454 , em seguida , no mesmo dia solicitei o cancelamento pois não havia colocado a opção de parcelamento como gostaria e realizei uma nova compra pedido número 
701-7253721-9499437 ambos no valor total de R$ 323.46 ! O site consta envio dos dois produtos, porém após contato via e-mail com o vendedor, o mesmo me informou que como eu tinha solicitado o cancelado primeiro, enviou apenas 1 relógio conforme eu solicitei , porém no site da AMAZON conforme print consta que os dois foram enviados , e nenhum chegou até o momento segundo o site (  eu já recebi o do segundo
Pedido ) e devido a isso não acontece o estorno do
Valor do primeiro pedido ! Mandei diversos e-mails e abri várias reclamações com o vendedor e o mesmo me informou que o erro é da AMZON e não deles , pois segundo eles foram feitos os procedimentos corretos ! Solicito o estorno do produto que não recebi! Solicitei a devolução no perdido que não recebi para que o vendedor aceitasse , e assim a Amazon fizesse o estorno , mais o mesmo ainda não foi respondido! Já se passaram quase 2 meses e nao solucionam o meu problema!",10
amazon,NÃO CONSIGO CRIAR PERFIL,Maceió,AL,105035727,2020-05-24 18:19:43,"Boa noite! Assinei a Amazon prime agora a pouco, já baixei aqui nas tv... Porém não estou conseguindo criar perfil, eu quero um perfil só meu e um só dos meus pais, pra eu pode assistir no meu quarto e eles na sala, um perfil com cada nome, até pra ficar salvo o episódio que parou.. Vi na ajuda do site e diz um passo a passo, pra entrar no app no espaço ""minha area"" que no canto inferior teria um ""+"" pra clicar e criar o perfil, porém não tem! Tentei pelo outro jeito que dizia lá, pela web... Diz pra clicar no ""seletor de perfil"" e nem tem essa opção, não tem como fazer. Se puderem por favooor arrumar os perfis pra mim por favor um Ana e um Jaqueline. Fico no aguardo, uso o serviço de streaming concorrente também e nunca tive problema, vi que a Amazon tem umas séries que eu gosto e assinei também.. espero que resolvam esse problema.. desde já agradeço",8
amazon,Não recebi o produto,Tapera,RS,105037083,2020-05-24 19:06:13,"Comprei um carrinho para bebê, bem como o acessório ""ninho neonato"" compatovel com o produto. em 05/04/2020. Recebi o ninho neonato em 16/04/2020. Aguardei o recebimento do carrinho. Mas, já passa de um mês da data máxima prevista para entrega que seria 23/04/2020. Ao enviar mensagem para Amazon obtive um retorno telefônico que NÃO RESOLVEU O PROBLEMA. E desde então, não recebi o retorno estimado para 48 horas. Já faz um mês.",8
